Month,Year,pcta
7,2000,0.9
8,2000,1.074074074
9,2000,1.103448276
10,2000,0.90625
11,2000,0.965517241
12,2000,1.071428571
1,2001,0.933333333
2,2001,1
3,2001,1.107142857
4,2001,1.032258065
5,2001,0.9375
6,2001,0.866666667
7,2001,1.038461538
8,2001,1.037037037
9,2001,0.5
10,2001,0.625
11,2001,1.9
12,2001,1.055555556
1,2002,1.105263158
2,2002,1.285714286
3,2002,1.037037037
4,2002,0.964285714
5,2002,1
6,2002,0.962962963
7,2002,1
8,2002,0.961538462
9,2002,1
10,2002,0.96
11,2002,1.041666667
12,2002,1
1,2003,1.08
2,2003,1.148148148
3,2003,0.774193548
4,2003,0.833333333
5,2003,1.05
6,2003,0.80952381
7,2003,1.470588235
8,2003,1.12
9,2003,0.928571429
10,2003,1.038461538
11,2003,0.962962963
12,2003,1.038461538
1,2004,0.962962963
2,2004,1.115384615
3,2004,1.103448276
4,2004,1.03125
5,2004,1
6,2004,0.909090909
7,2004,0.933333333
8,2004,1
9,2004,1.107142857
10,2004,0.903225806
11,2004,1.071428571
12,2004,0.966666667
1,2005,1
2,2005,1.103448276
3,2005,1.03125
4,2005,0.96969697
5,2005,1
6,2005,0.9375
7,2005,1.033333333
8,2005,1.387096774
9,2005,1.069767442
10,2005,0.717391304
11,2005,0.939393939
12,2005,0.967741935
1,2006,1
2,2006,1
3,2006,1.1
4,2006,1.212121212
5,2006,0.825
6,2006,0.96969697
7,2006,1.1875
8,2006,0.815789474
9,2006,1
10,2006,0.967741935
11,2006,0.966666667
12,2006,1.034482759
1,2007,1
2,2007,1
3,2007,1.1
4,2007,1
5,2007,1.03030303
6,2007,1
7,2007,0.941176471
8,2007,0.96875
9,2007,1
10,2007,1.096774194
11,2007,1
12,2007,1
1,2008,1.058823529
2,2008,1.194444444
3,2008,1.11627907
4,2008,1.083333333
5,2008,0.980769231
6,2008,1
7,2008,0.941176471
8,2008,0.895833333
9,2008,0.906976744
10,2008,0.743589744
11,2008,0.586206897
12,2008,1.294117647
1,2009,0.863636364
2,2009,1.052631579
3,2009,1.4
4,2009,1
5,2009,1.107142857
6,2009,0.935483871
7,2009,0.965517241
8,2009,0.785714286
9,2009,1.318181818
10,2009,0.931034483
11,2009,0.925925926
12,2009,1.12
1,2010,0.964285714
2,2010,1
3,2010,1.074074074
4,2010,1.103448276
5,2010,0.875
6,2010,0.964285714
7,2010,1
8,2010,0.814814815
9,2010,1.227272727
10,2010,1.111111111
11,2010,1
12,2010,1.133333333
1,2011,1
2,2011,1.352941176
3,2011,1
4,2011,0.891304348
5,2011,0.926829268
6,2011,0.894736842
7,2011,1.029411765
8,2011,0.942857143
9,2011,0.96969697
10,2011,1
11,2011,0.96875
12,2011,1.064516129
1,2012,1
2,2012,1.181818182
3,2012,0.820512821
4,2012,0.9375
5,2012,1.033333333
6,2012,0.967741935
7,2012,1.2
8,2012,0.916666667
9,2012,0.939393939
10,2012,1
11,2012,1.032258065
12,2012,1.03125
1,2013,1
2,2013,0.96969697
3,2013,0.96875
4,2013,1
5,2013,0.967741935
6,2013,1.033333333
