Date,NFP_SURP,NFP_12M,SP500_3M,SLOPE_3M,BCOM_3M,TR_SKEW
3/1/1993,-0.111945617,1.589145051,4.205573065,-0.251308721,0.078687217,0.136235818
4/1/1993,0.556476096,1.499311415,2.811082796,-0.22433193,3.579332376,0.068736287
5/1/1993,0.556476096,1.629708352,0.473647047,-0.212274905,5.027993134,0.127062152
6/1/1993,-0.121481726,1.755375383,1.759091244,-0.307807494,1.216748502,0.151349012
7/1/1993,-0.121481726,1.854698208,-0.053254242,-0.679034409,-0.563050419,0.182002017
8/1/1993,-0.38109633,2.05787672,2.281883344,-0.765095881,-0.288741707,0.226574512
9/1/1993,-0.01573821,2.075343889,2.92660999,-0.550468531,2.698544522,0.255572358
10/1/1993,-0.506974635,2.265966889,1.811792986,-0.359522401,-1.976150679,0.199865093
11/1/1993,-0.506974635,2.350791001,3.832420113,-0.34463902,-3.319872977,0.198129723
12/1/1993,-0.003785635,2.445087484,0.271052821,-0.030537389,-4.147716308,0.235082784
1/1/1994,0.044582694,2.544473825,1.368530008,0.245259726,1.54268891,0.296496976
2/1/1994,0.044582694,2.528114641,2.924339764,0.087962767,4.984075547,0.350591955
3/1/1994,-0.330068432,2.454011761,1.028525322,-0.098900352,2.591804195,0.283066923
4/1/1994,0.115999528,2.938274435,-5.416284863,0.241525954,2.679119834,0.313381206
5/1/1994,0.499127225,2.938274435,-4.342048555,-0.03591032,1.403664628,0.393547007
6/1/1994,0.174806744,2.985615513,-1.685606112,-0.271700671,7.40126778,0.38561283
7/1/1994,0.174806744,3.10895735,-3.479402849,-0.385661806,8.727095536,0.455122995
8/1/1994,-0.244735056,3.150104037,1.40422129,-0.243127243,7.754695178,0.462659997
9/1/1994,0.071011302,3.275791236,4.07571307,-0.123687037,1.005361374,0.41610791
10/1/1994,-0.172735163,3.351056401,3.313348026,-0.243158541,-1.797822274,0.443947591
11/1/1994,-0.172735163,3.277711976,3.02835192,-0.049449612,-0.363386891,0.325518853
12/1/1994,-0.164999924,3.405988944,-4.503711488,-0.660852904,2.70142507,0.186098356
1/1/1995,0.189299389,3.369290724,-1.205500399,-1.183028746,5.508816388,0.218849596
2/1/1995,-0.054462709,3.408359388,0.976223423,-0.949984486,0.90368043,0.24430332
3/1/1995,-0.054462709,3.409837223,7.997265518,-0.410871624,0.940146934,0.273639579
4/1/1995,0.155212121,3.183368742,8.293279666,0.358503143,0.9875325,0.315101285
5/1/1995,0.155212121,3.014266548,9.633267448,-0.063011499,3.007198832,0.345965256
6/1/1995,-0.415082978,2.706155985,9.75793949,-0.33176281,2.681730749,0.206014849
7/1/1995,-0.415082978,2.636528132,7.949827329,-0.336151561,-1.854603378,0.122410924
8/1/1995,-0.680841365,2.391596379,9.026122958,-0.033191932,-2.476627816,0.140830954
9/1/1995,-0.207171703,2.253012251,5.201665513,-0.020155569,-0.146585175,0.132950012
10/1/1995,0.148951067,2.253012251,7.031252214,-0.071512076,3.455982822,0.053028719
11/1/1995,0.148951067,2.200677291,3.400237054,-0.364246537,3.395690819,0.01433267
12/1/1995,-0.077393995,1.96303407,7.790304955,-0.282144317,3.700717699,0.032980307
1/1/1996,-0.0313177,1.835461638,5.831374534,-0.141633517,5.330922852,-0.01146614
2/1/1996,-0.019807822,1.543327257,9.271929069,0.208402315,5.244531458,0.03424159
3/1/1996,-0.019807822,1.735583915,6.301256337,0.45893321,3.345358632,0.069537963
4/1/1996,0.890963718,1.766896327,4.916741462,0.471188781,5.226789412,0.121608489
5/1/1996,0.890963718,1.772100746,5.103826468,0.345550283,5.571595938,0.236141336
6/1/1996,-0.332291373,2.070733447,3.710076418,0.183643427,4.672107121,0.213439689
7/1/1996,-0.332291373,2.091521059,3.292358555,0.047667133,-4.213144057,0.197211322
8/1/1996,0.358780659,2.221648992,-2.196186142,-0.154580346,-7.128516607,0.227802548
9/1/1996,-0.038330196,2.146026758,-2.978262104,-0.007715238,-1.755314351,0.160977127
10/1/1996,-0.015721937,2.121175919,2.77033813,0.061075684,0.092893165,0.183865772
11/1/1996,-0.015721937,2.327048028,9.719066853,-0.05258888,-0.812485875,0.214098203
12/1/1996,-0.011351455,2.327048028,12.98884171,-0.427142428,4.348976472,0.136692909
1/1/1997,-0.173268809,2.353659019,7.649511248,-0.19410754,1.188059566,0.144998452
2/1/1997,-0.173268809,2.536915178,11.39394004,-0.005473461,3.146984717,0.273712919
3/1/1997,0.149603052,2.443437383,4.366746961,0.182544722,-1.16239664,0.257960559
4/1/1997,0.213838546,2.489100756,0.807611819,0.18662449,1.611174629,0.277664677
5/1/1997,0.213838546,2.592857495,4.638335713,-0.113912525,1.188571591,0.251182252
6/1/1997,-0.169565178,2.531780798,5.152417226,0.01140554,3.239901815,0.198354801
