Date,NFP_SURP,NFP_12M,SP500_3M,SLOPE_3M,BCOM_3M,TR_SKEW
12/18/1990,-0.479539796,0.304581803,2.859338543,-0.316031433,-11.93440817,0.496974738
12/19/1990,-0.479539796,0.304581803,3.791630507,-0.392135197,-11.23892168,0.490246286
1/8/1991,0.131788721,-0.12645818,1.289025751,0.133444135,-16.02770183,0.54842033
2/1/1991,-0.56861717,-0.642617408,13.04085234,0.157906252,-17.02327619,0.49833694
2/7/1991,-0.56861717,-0.642617408,13.82061959,0.254548471,-14.66782048,0.458545895
3/8/1991,-0.217282134,-0.982556666,14.82976338,0.617196116,-11.36523523,0.374130631
3/27/1991,-0.217282134,-0.982556666,13.09304552,0.416593389,-6.695312645,0.402276858
4/30/1991,-0.178432422,-1.214560118,10.98727068,0.43824367,0.501032885,0.316083817
5/15/1991,-0.014665783,-1.444442555,3.357495277,0.56601377,-1.563459182,0.273815279
7/5/1991,-0.270810294,-1.398431813,-1.639188579,0.27638524,-5.3142565,0.230164637
8/6/1991,-0.273098456,-1.199619719,1.186045049,0.101431112,-1.732449425,0.223755865
8/21/1991,-0.273098456,-1.199619719,1.872837576,0.401972605,-0.838665703,0.185071053
9/13/1991,-0.053896718,-1.09062947,1.637228277,0.22665666,3.279060722,0.094674067
10/2/1991,-0.053893397,-1.09062947,4.746013532,0.078036039,5.500084515,0.032977406
10/30/1991,-0.076953579,-0.933238455,2.150791513,0.335773839,5.074886667,-6.89E-05
11/6/1991,-0.10004753,-0.847735421,0.943438237,0.520834288,5.321595313,0.000821875
12/6/1991,-0.526766349,-0.770585612,-3.279064191,0.454459529,-0.985245613,0.099008292
12/18/1991,-0.526766349,-0.770585612,-0.791137366,0.727379985,-5.504873755,0.122287199
12/20/1991,-0.526766349,-0.770585612,-1.14887378,0.706036362,-6.965441476,0.134791895
2/6/1992,0.146812955,-0.637469216,5.595375854,0.50034282,-6.539472595,0.144938438
4/1/1992,0.282321141,-0.185309017,-0.683823941,0.142523453,3.477687391,0.040385699
4/9/1992,-0.152889739,0.154011475,-5.642583973,0.186869399,5.009975505,0.073357409
5/20/1992,0.077240049,0.36330146,0.938652992,0.066298799,2.333688587,0.122318602
7/2/1992,-0.526996355,0.462498867,2.422044372,0.37822156,3.503425361,0.131082949
8/19/1992,0.161838243,0.568102258,2.706346113,0.049306823,0.566835846,0.138197103
9/4/1992,-0.574444964,0.567914011,0.814353953,0.169285795,-1.863688081,0.09207784
10/7/1992,-0.056084493,0.714489083,-1.622408672,0.045236884,-0.55597878,0.085537913
11/18/1992,-0.035484163,0.903569385,-0.34999649,-0.217658664,-1.689026307,0.087241625
12/23/1992,0.062632245,1.076068997,4.214197147,-0.488841212,-5.126789245,0.129997704
2/4/1993,-0.101365314,1.306429161,6.589906164,-0.340060119,-2.977315861,0.176167601
3/24/1993,0.511935641,1.499311415,3.015421367,-0.158984616,2.007171529,0.070168186
5/19/1993,-0.110115037,1.755375383,-0.962823412,-0.233717134,2.849673755,0.150864189
7/8/1993,-0.348320771,2.05787672,0.325704733,-0.749334199,2.538854715,0.191408533
8/18/1993,-0.013091559,2.075343889,3.040484978,-0.591837165,0.557079614,0.234103428
9/22/1993,-0.463818642,2.265966889,2.067820571,-0.28766113,-0.087318644,0.215520046
11/17/1993,-0.002124642,2.445087484,3.124979113,-0.274972065,-0.577443605,0.216554918
12/22/1993,0.042255039,2.544473825,2.227505642,0.209555701,0.52702715,0.255750102
2/4/1994,-0.30150084,2.454011761,2.585612952,0.05369908,6.910923686,0.340878444
3/22/1994,0.107782552,2.903688451,1.11603772,-0.073339615,4.159819804,0.29863845
4/18/1994,0.45931599,2.938274435,-6.084349387,0.215322473,1.566705446,0.359379369
5/17/1994,0.161740287,2.985615513,-6.168145352,-0.050937148,6.241000082,0.406605767
7/6/1994,-0.223204399,3.10895735,0.183874691,-0.525964864,7.582316883,0.456309215
8/16/1994,0.066504237,3.275791236,3.863551701,-0.285782839,0.816579293,0.421430475
9/27/1994,-0.157141908,3.351056401,2.458249392,-0.126832341,0.527082318,0.45120922
11/15/1994,-0.150044549,3.405988944,0.883646788,-0.220522858,3.9236836,0.220581578
12/20/1994,0.17503781,3.369290724,-2.858874863,-1.148157867,2.238585874,0.204052942
2/1/1995,-0.04862268,3.408359388,0.976223423,-0.949984486,0.90368043,0.24430332
3/28/1995,0.143761517,3.183368742,9.060945773,0.11015316,2.385407954,0.318299113
5/23/1995,-0.379504743,2.706155985,7.622116999,-0.215698253,3.009584029,0.251260459
7/6/1995,-0.623347619,2.636528132,8.889695315,-0.280085423,-3.067196057,0.114957252
8/22/1995,-0.188738672,2.359182127,7.153522352,0.105815802,-0.178216348,0.150260371
9/26/1995,0.138016774,2.253012251,5.428207364,0.078133952,2.283607129,0.059948888
11/15/1995,-0.069662959,1.96303407,5.144601237,-0.262944431,3.407260219,0.01897019
12/19/1995,-0.027386301,1.835461638,3.942841579,-0.155363516,3.206923741,0.015806792
1/31/1996,-0.016825575,1.543327257,8.860109573,0.206097808,4.523343895,0.030869333
3/26/1996,0.818840061,1.766896327,7.025289036,0.395863385,6.085304462,0.104556354
5/21/1996,-0.303540468,2.070733447,3.296713955,0.064873297,6.90482112,0.230770022
7/3/1996,0.330542969,2.091521059,4.262607639,0.040230092,-5.307685579,0.198712735
8/20/1996,-0.033820519,2.146026758,0.259877348,-0.114707957,-4.830094785,0.201309489
9/24/1996,-0.013076628,2.121175919,3.616049799,-0.102008148,1.205127057,0.166268628
11/13/1996,-0.009066554,2.327048028,9.149731446,-0.120683239,-0.316831335,0.200302405
12/17/1996,-0.157631548,2.353659019,5.772480217,-0.209720331,1.569716983,0.113390355
2/5/1997,0.138614994,2.536915178,11.25150741,-0.02213722,4.907465932,0.279661358
3/25/1997,0.197553369,2.489100756,7.800704105,-0.009621221,0.024400811,0.265964382
5/20/1997,-0.154233333,2.531780798,2.607909301,0.015716624,5.264724995,0.210395251
7/2/1997,-0.216639735,2.511406343,16.28563749,-0.162057222,-6.236956009,0.155698081
8/19/1997,0.199499823,2.374291502,8.053962372,-0.111764791,-8.924521557,0.06906062
9/30/1997,-0.102742745,2.602872632,7.587663843,-0.234348624,2.929915094,0.098493843
11/12/1997,0.108794801,2.675005425,-1.420930247,-0.37717211,0.399745795,0.013157663
12/16/1997,0.369227535,2.772754679,4.184369421,-0.535061336,-4.173143057,-0.051512988
2/4/1998,0.299736603,2.802391681,9.027717039,-0.128058913,-9.04821402,-0.073465045
3/31/1998,0.07972816,2.568559535,15.22763431,0.112823843,-3.383814223,0.046087048
5/19/1998,-0.055942255,2.645823121,7.673384231,0.010552763,-4.827845529,0.116016142
7/1/1998,0.100514076,2.619759933,3.445401618,-0.171071016,-5.991345712,-0.041718675
8/18/1998,-0.01833628,2.772258038,-3.062423609,-0.123536523,-8.440220964,-0.012063621
9/29/1998,-0.010484004,2.532104488,-7.403857712,-0.009456348,-2.987189016,-0.313921885
10/15/1998,-0.29791561,2.410907932,-15.7946653,0.25173243,-0.97048166,-0.299088034
11/17/1998,-0.155940921,2.383896481,6.653898458,0.20422766,0.67814972,-0.039649279
12/22/1998,0.149907801,2.416197242,16.47945139,0.202059298,-11.00243578,-0.109246048
2/3/1999,0.307115414,2.291540045,16.68178578,-0.052081907,-8.80980128,-0.100253604
3/30/1999,0.008658814,2.422385306,8.486483772,0.388802087,8.622715975,0.134235548
